Kuri vizualizacija geriau paaiškina?,Kuri vizualizacija geriau paaiškina?.1,DeepLIFT_Best_Count,DeepLIFT_Worst_Count,GradCAM_Best_Count,GradCAM_Worst_Count,GradCAM++_Best_Count,GradCAM++_Worst_Count,Guided GradCAM_Best_Count,Guided GradCAM_Worst_Count,LIME_Best_Count,LIME_Worst_Count,LRP_Best_Count,LRP_Worst_Count,Occlusions_Best_Count,Occlusions_Worst_Count,Saliency_Best_Count,Saliency_Worst_Count,A_Best_Count,A_Worst_Count,B_Best_Count,B_Worst_Count,C_Best_Count,C_Worst_Count,D_Best_Count,D_Worst_Count,E_Best_Count,E_Worst_Count,F_Best_Count,F_Worst_Count,G_Best_Count,G_Worst_Count,H_Best_Count,H_Worst_Count,B_MostSuspicious_Count,C_MostSuspicious_Count,D_MostSuspicious_Count,E_MostSuspicious_Count,F_MostSuspicious_Count,G_MostSuspicious_Count,H_MostSuspicious_Count
D,D,0,5,5,0,5,0,0,5,2,2,0,3,3,0,0,0,3,6,0,9,0,14,8,1,1,5,1,8,0,1,3,4,0,5,0,0,5,2,3
B,A,4,0,3,2,3,0,0,4,1,4,3,1,0,4,1,0,2,4,0,7,0,15,8,1,3,4,0,8,1,4,2,5,0,5,0,0,5,3,2
A,D,1,2,5,0,5,0,0,1,0,4,0,5,4,2,0,1,0,15,0,9,1,7,11,3,3,5,0,2,1,0,0,7,0,5,0,0,5,1,4
A,A,0,3,4,0,5,0,0,5,0,4,1,3,5,0,0,0,1,7,0,7,0,10,5,5,4,4,0,8,4,4,2,3,0,5,0,0,5,0,5
D,D,0,3,4,0,5,0,0,5,1,3,0,4,4,0,1,0,0,14,0,11,0,14,1,0,2,5,1,0,5,1,7,3,0,5,0,2,3,1,4
B,A,0,5,3,0,5,0,0,5,2,1,0,4,5,0,0,0,0,9,0,8,0,11,8,1,0,10,3,4,5,3,0,2,1,5,0,0,5,3,1
A,D,0,5,3,0,5,0,0,5,1,1,0,4,5,0,1,0,1,8,0,9,0,12,6,1,3,6,1,7,0,2,5,3,1,4,0,0,4,2,4
C,B,0,5,5,1,5,0,0,4,1,0,0,5,4,0,0,0,0,15,0,8,0,11,5,2,3,2,2,3,5,5,1,2,0,0,0,2,5,4,4
A,A,1,4,2,1,5,0,0,4,2,1,0,4,4,1,1,0,1,8,0,10,0,16,10,1,2,3,0,8,0,1,3,1,0,5,0,0,5,3,2
B,B,0,5,4,0,4,0,0,5,1,0,0,5,4,0,2,0,0,7,0,9,0,11,6,2,2,2,2,6,5,3,1,8,0,4,1,1,5,0,4
B,B,1,3,4,1,4,0,1,2,0,4,0,2,1,2,4,1,3,6,1,7,0,10,3,4,1,4,3,9,3,2,2,6,0,4,0,0,5,2,4
A,A,2,1,4,1,3,0,5,0,0,5,0,4,0,4,1,0,4,6,9,1,0,8,1,5,1,1,0,11,1,7,0,9,0,4,0,1,5,1,4
